lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01024433,12.202,0.063,0.043,8.514,-1.198,31.922,27.966,3,1484.0,2.02,1.1052568313867783,51.381574666666666,0.21754266666666666
E01024434,10.36,0.075,0.051,19.589,-0.808,12.377,10.33,4,1934.0,2.07,1.1216775615991057,51.40271,0.2477565
E01024435,15.797,0.09,0.065,22.624,-0.891,27.951,24.423,4,1647.0,2.43,1.2325602611778486,51.340913,0.26131275
E01024436,15.047,0.074,0.064,22.356,-0.487,37.03,7.772,5,1493.0,3.35,1.4701758451005926,51.3507926,0.2547042
E01024437,14.751,0.087,0.055,16.503,-0.742,23.973,23.414,2,1497.0,1.34,0.8501509293696101,51.3801795,0.28347449999999996
E01024438,9.077,0.058,0.067,21.31,-0.884,9.729,7.99,1,1442.0,0.69,0.5247285289349821,51.351322,0.260173
E01024439,11.026,0.057,0.039,16.056,-1.188,32.059,19.929,24,1726.0,13.9,2.7013612129514133,51.34268312500001,0.13813891666666667
E01024440,9.593,0.044,0.032,5.359,-1.446,40.357,15.115,15,1946.0,7.71,2.1644717908644115,51.32618713333333,0.12031153333333333
E01024441,2.702,0.021,0.026,4.641,-1.402,10.995,5.573,1,1505.0,0.66,0.5068176023684519,51.3827,0.306775
E01024444,22.09,0.184,0.096,32.759,-0.383,28.353,6.359,1,1318.0,0.76,0.5653138090500605,51.392424,0.308931
E01024445,5.648,0.044,0.045,10.977,-1.252,8.494,8.426,1,1360.0,0.74,0.5538851132264376,51.412724,0.18353
E01024446,4.98,0.039,0.03,9.566,-1.106,4.638,7.558,1,1353.0,0.74,0.5538851132264376,51.409749,0.177679
E01024447,16.248,0.116,0.1,21.268,-0.488,14.587,14.179,2,1345.0,1.49,0.9122827104766162,51.412011,0.18752950000000002
E01024448,11.379,0.075,0.062,15.31,-0.658,24.203,16.221,1,1286.0,0.78,0.5766133643039938,51.305004,0.212286
E01024449,5.589,0.031,0.027,5.339,-1.647,27.982,8.143,1,1490.0,0.67,0.5128236264286639,51.310469,0.208661
E01024450,8.291,0.08,0.044,4.979,-0.946,22.368,8.297,1,1566.0,0.64,0.49469624183610705,51.30219,0.226497
E01024452,19.462,0.071,0.062,7.796,-0.927,33.321,64.698,2,1487.0,1.34,0.8501509293696101,51.332085500000005,0.2012715
E01024453,3.585,0.023,0.031,1.482,-1.512,19.936,4.725,2,1662.0,1.2,0.7884573603642702,51.313005,0.196714
E01024454,10.632,0.06,0.053,13.375,-1.207,32.025,10.601,2,1549.0,1.29,0.8285518175661483,51.303707,0.1882565
