lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01000001,6.208,0.007,0.01,0.024,-1.654,29.472,31.873,540,1829.0,295.24,5.691169936605357,51.517699640740744,-0.09744179814814814
E01000002,5.143,0.034,0.027,0.063,-1.115,24.412,23.084,1392,1664.0,836.54,6.730469023752722,51.519126053160925,-0.09186192456896551
E01000003,19.402,0.086,0.086,5.804,-0.102,40.103,40.535,455,1943.0,234.17,5.46030865686874,51.52189388351649,-0.0957061934065934
E01000005,28.652,0.211,0.136,22.26,-0.121,39.9,28.979,2580,1762.0,1316.1433999999997,7.183220579642747,51.513331355038765,-0.07535481317829457
E01000006,19.837,0.117,0.059,14.798,-0.359,45.171,26.888,307,1843.0,166.58,5.121460849185141,51.53909719218241,0.08813038110749186
E01000007,31.576,0.207,0.107,11.385,-0.027,50.42,25.995,1887,2992.0,630.68,6.448382936805062,51.54022049761526,0.07839876470588235
E01000008,37.596,0.265,0.151,25.506,0.25,45.413,30.233,1265,1758.0,719.57,6.5800425654740025,51.539109511462456,0.07110806007905138
E01000009,32.844,0.187,0.109,15.713,0.454,48.119,28.601,1084,1859.0,583.11,6.370089321255816,51.540641251845024,0.08311548523985239
E01000011,30.679,0.167,0.081,22.519,-0.137,52.948,39.857,274,1733.0,158.11,5.069595786919765,51.54251913138686,0.08109119708029197
E01000012,34.714,0.239,0.096,19.774,-0.056,56.507,36.881,877,2350.0,373.19,5.924763689805728,51.543253989737735,0.07545182668187
E01000013,38.997,0.213,0.145,24.003,0.67,45.252,30.424,1076,1887.0,570.22,6.3477744244180005,51.54294310223048,0.1482026505576208
E01000014,35.67,0.201,0.135,31.501,0.35,46.135,25.122,547,1761.0,310.62,5.741784496789209,51.544253447897624,0.14253927422303472
E01000015,33.632,0.216,0.123,26.013,0.025,50.4,25.696,439,2350.0,186.81,5.2354308134928464,51.54403658769932,0.1559454874715262
E01000016,32.839,0.199,0.122,28.996,0.373,43.772,24.95,339,1833.0,184.94,5.225424041027712,51.54961643657818,0.15195972861356932
E01000017,39.004,0.25,0.169,22.899,0.694,45.929,27.688,195,1739.0,112.13,4.728537599938376,51.549328938461535,0.1463980205128205
E01000018,33.406,0.212,0.136,26.358,0.273,43.512,25.659,198,1761.0,112.44,4.731274062783817,51.54675215656566,0.15278965151515153
E01000019,33.62,0.194,0.138,26.111,0.477,41.248,26.826,223,1651.0,135.07,4.913169459202767,51.559202443946184,0.12086714798206279
E01000020,36.035,0.216,0.131,24.184,0.76,43.518,30.078,388,2196.0,176.68,5.179984179586172,51.55739735309279,0.12580505412371135
E01000021,38.888,0.23,0.136,31.637,0.418,45.544,44.214,562,1688.0,332.94,5.810961336120811,51.55547187188612,0.11681843772241993
E01000022,34.413,0.195,0.139,27.111,0.427,44.277,30.435,297,1436.0,206.82,5.3366723204245,51.55446489225589,0.12138732996632996
E01000024,29.339,0.155,0.1,29.298,0.263,45.704,29.869,421,1486.0,283.31,5.650065192150214,51.551497976247035,0.12044511876484561
E01000025,36.702,0.219,0.138,25.691,0.395,47.029,28.042,450,1939.0,232.08,5.451381742274873,51.549569251111116,0.11750531555555556
E01000027,37.347,0.216,0.146,38.122,0.148,44.976,20.329,891,2081.0,428.16,6.061829809768546,51.58741926823794,0.13934937373737374
E01000028,40.078,0.26,0.155,27.699,1.138,48.625,16.282,519,1816.0,285.79,5.6587502406140935,51.58489993256262,0.1292430366088632
E01000029,22.503,0.113,0.075,17.349,-0.28,47.51,21.974,551,1936.0,284.61,5.654627243858056,51.58028316878403,0.1354426497277677
E01000030,38.415,0.264,0.162,38.753,0.016,44.592,20.993,848,2545.0,333.2,5.811739616161293,51.58393021462264,0.13610360023584905
E01000031,22.672,0.126,0.075,12.953,0.046,34.14,27.703,464,1827.0,253.97,5.541145891178645,51.575906497844834,0.13971647413793103
E01000032,29.958,0.146,0.106,23.035,0.095,39.922,38.369,929,2062.0,450.53,6.112641815832381,51.573015198062436,0.13465762970936493
E01000033,37.978,0.257,0.136,32.037,0.278,55.686,21.763,365,1514.0,241.08,5.489268250040046,51.55507949589041,0.16329301369863014
E01000034,35.895,0.216,0.147,33.858,0.661,45.083,18.01,379,1634.0,231.95,5.450823838262806,51.55746597889182,0.17200351187335092
E01000035,26.175,0.15,0.092,25.536,0.397,39.025,23.071,628,1867.0,336.37,5.821180250924531,51.549817578025475,0.16337599522292995
E01000036,19.27,0.112,0.073,15.969,-0.185,31.724,27.612,847,1443.0,586.97,6.376675926188878,51.545245370720195,0.16409823258559625
E01000037,17.988,0.096,0.101,20.288,-0.504,29.715,19.057,113,1744.0,64.79,4.186467851097906,51.562530566371684,0.1793734336283186
E01000038,19.646,0.127,0.079,18.702,-0.103,27.945,27.001,429,1646.0,260.63,5.566931291907004,51.56386798601399,0.17447816550116552
E01000039,22.288,0.127,0.074,19.753,0.173,42.779,17.527,420,1844.0,227.77,5.432717132027692,51.55679057857142,0.17802870476190477
E01000040,34.608,0.218,0.123,31.332,0.155,45.801,29.323,473,1826.0,259.04,5.560835465336268,51.53656042917547,0.0966509133192389
E01000041,33.173,0.172,0.105,33.867,0.349,48.606,33.127,295,1806.0,163.34,5.101937452503042,51.537950088135595,0.11695530169491526
E01000042,41.573,0.263,0.164,31.45,0.526,57.015,24.75,634,1887.0,335.98,5.820023581410239,51.53742111671924,0.105793023659306
E01000043,28.075,0.147,0.085,28.946,0.044,42.921,33.853,361,1554.0,232.3,5.452325179027384,51.53408984487535,0.09839880886426591
E01000044,28.389,0.133,0.079,22.263,-0.41,42.638,44.13,471,1966.0,239.57,5.483011107487047,51.53572201273885,0.09151834182590234
E01000045,35.688,0.188,0.125,24.013,0.279,44.514,35.245,960,1736.0,553.0,6.317164686747284,51.53359400833334,0.10856489791666667
E01000046,29.763,0.17,0.111,28.185,0.222,45.338,30.26,389,1918.0,202.82,5.317237251400548,51.53662816452442,0.12039122107969152
E01000049,41.172,0.29,0.143,27.852,0.409,55.298,26.588,486,1703.0,285.38,5.65731960024586,51.530318329218105,0.08606639300411524
E01000050,34.701,0.176,0.114,22.642,0.61,48.003,36.588,518,1878.0,275.83,5.623403599373554,51.53462905598455,0.08568131081081082
E01000051,36.941,0.234,0.13,28.197,0.391,45.996,27.521,418,1129.0,370.24,5.916848753727192,51.53425196172248,0.08271157894736841
E01000052,33.284,0.188,0.111,27.403,-0.153,51.774,38.532,451,2468.0,182.74,5.213521714843321,51.532671126385814,0.09284740576496675
E01000053,40.044,0.229,0.126,27.703,0.701,49.479,26.503,316,1668.0,189.45,5.249389692924613,51.53288738607595,0.14451470253164558
E01000054,29.788,0.18,0.096,26.697,0.198,42.507,31.481,379,1835.0,206.54,5.3353240921771325,51.537026767810026,0.13296182321899735
E01000055,30.898,0.211,0.114,27.143,0.126,43.185,29.369,306,1600.0,191.25,5.258796608385754,51.53609982679738,0.12652666013071895
E01000056,35.903,0.197,0.144,25.304,0.455,51.736,23.506,431,1648.0,261.53,5.570365361215849,51.533681055684454,0.13794861020881669
E01000057,32.887,0.196,0.118,31.462,0.097,43.725,30.046,726,1597.0,454.6,6.121615231573027,51.53863523002755,0.12772474655647384
E01000058,31.763,0.199,0.117,25.845,0.147,46.251,27.809,555,2161.0,256.83,5.552300453013218,51.53955974054054,0.1354340036036036
E01000059,32.331,0.176,0.129,28.14,0.136,45.241,32.699,378,1709.0,221.18,5.403487864153576,51.53669125132275,0.14216788095238095
E01000060,36.154,0.202,0.129,25.54,0.282,48.53,24.729,850,2203.0,385.84,5.958011170848763,51.558161688235295,0.1514858482352941
E01000061,46.283,0.303,0.186,39.776,1.013,49.627,15.967,1012,1980.0,511.11,6.2385394457138945,51.56115396146245,0.15318836067193675
E01000062,26.669,0.143,0.088,30.73,-0.143,45.088,20.153,672,2201.0,305.32,5.724630307169039,51.553722894345235,0.15273772470238095
E01000063,33.371,0.181,0.124,37.624,0.286,41.886,35.452,255,1723.0,148.0,5.003946305945459,51.55577434901961,0.1453959176470588
E01000064,35.283,0.208,0.13,24.438,0.39,50.054,34.175,645,2300.0,280.43,5.639883748805969,51.553456536434105,0.1573498403100775
E01000065,39.89,0.228,0.173,26.185,0.817,47.453,29.31,516,1973.0,261.53,5.570365361215849,51.5522918624031,0.14435489534883722
E01000066,25.763,0.147,0.097,18.294,0.054,50.656,17.916,564,2555.0,220.74,5.401505524344206,51.5467017606383,0.10682090780141844
E01000067,20.973,0.132,0.066,15.99,-0.388,42.456,21.711,382,2235.0,170.92,5.147029252334255,51.547367096858636,0.09964671727748692
E01000068,25.603,0.123,0.075,16.187,0.167,41.502,31.382,706,1764.0,400.23,5.9945348289652,51.543067715297454,0.08696937818696884
E01000069,16.375,0.087,0.07,16.481,-0.626,31.781,28.36,277,2169.0,127.71,4.857561811661286,51.543737429602885,0.09961054151624549
E01000070,21.038,0.11,0.077,14.434,-0.442,35.596,27.639,968,2092.0,462.72,6.139280921802201,51.54545173243802,0.0942779173553719
E01000071,18.848,0.13,0.058,14.114,-0.261,40.981,22.064,591,2625.0,225.14,5.421154276507099,51.53961240101523,0.0992745008460237
E01000072,41.016,0.241,0.138,34.242,0.478,46.957,30.082,734,2150.0,341.4,5.835979644267587,51.54205566621253,0.11417657901907358
E01000073,38.757,0.209,0.135,35.14,0.57,43.442,23.636,350,1851.0,189.09,5.247497644218062,51.54703225714285,0.11536517142857142
E01000074,35.044,0.234,0.128,32.398,0.461,47.408,22.806,457,1733.0,263.7,5.578597109233056,51.54539684463895,0.12073569803063458
E01000075,36.999,0.196,0.118,36.347,0.136,44.869,39.815,558,2081.0,268.14,5.595231690313395,51.54180203763441,0.12639889964157705
E01000076,36.246,0.208,0.148,36.193,0.097,49.87,27.02,334,2182.0,153.07,5.037407044593683,51.54127333233533,0.11970659281437127
E01000077,41.032,0.251,0.159,33.494,0.725,44.143,35.02,312,1753.0,177.98,5.1872740677547124,51.54947799679487,0.12586515384615385
E01000078,35.033,0.228,0.128,33.668,0.035,44.311,33.091,633,1961.0,322.79,5.7800951575053645,51.55209579620853,0.13245914533965245
E01000079,34.522,0.227,0.141,24.526,0.045,48.007,29.325,311,1762.0,176.5,5.178970608915471,51.54702222508038,0.1415377845659164
E01000080,33.185,0.19,0.146,26.379,0.445,45.385,24.492,322,1766.0,182.33,5.211287807574934,51.54879939751552,0.1309228695652174
E01000081,30.608,0.162,0.116,30.952,0.225,43.718,32.758,373,1980.0,188.38,5.243755578555354,51.5501498310992,0.1387374852546917
E01000082,27.895,0.158,0.113,31.053,-0.111,43.176,30.006,959,1852.0,517.82,6.251557002200394,51.55447771115745,0.14050505422314913
E01000083,34.377,0.196,0.134,27.072,0.361,44.245,35.395,310,1978.0,156.72,5.060821309009427,51.55319669354839,0.1271183258064516
E01000084,39.815,0.229,0.141,36.839,0.338,43.432,28.534,382,1409.0,271.11,5.6062063963083055,51.53940977486911,0.14598155235602095
E01000085,35.154,0.189,0.124,36.259,-0.227,46.139,32.465,425,1624.0,261.7,5.571012696691494,51.53732174588235,0.15096147764705883
E01000086,38.156,0.218,0.142,28.503,0.89,42.757,26.281,422,1443.0,292.45,5.681707267004343,51.537420443127964,0.1460152559241706
E01000087,34.357,0.226,0.131,27.171,0.046,48.565,31.357,1113,1655.0,672.51,6.512502843550139,51.532263175202154,0.1494939433962264
E01000088,28.849,0.147,0.1,20.313,0.264,44.005,34.525,465,2011.0,231.23,5.447728259884732,51.53347065376344,0.1547156322580645
E01000089,28.968,0.156,0.092,25.246,-0.154,47.254,40.955,210,1819.0,115.45,4.75746199633035,51.53132857142857,0.16008890952380952
E01000090,28.317,0.169,0.091,22.024,-0.187,45.475,29.464,1027,1683.0,610.22,6.41545695983003,51.52880923661149,0.1584583446932814
E01000091,42.183,0.256,0.175,32.562,0.324,48.266,23.563,430,2097.0,205.05,5.328118857784826,51.527666330232556,0.1091027976744186
E01000093,46.922,0.26,0.169,27.955,0.842,49.657,43.57,501,1793.0,279.42,5.636288479292985,51.52865888423153,0.1019332634730539
E01000094,28.182,0.167,0.094,10.866,-0.036,64.961,20.692,728,2615.0,278.39,5.632608655201676,51.52544895741758,0.11683955631868131
E01000095,32.254,0.196,0.095,22.314,-0.111,63.151,18.657,2902,2350.0,1234.89,7.1195466372934355,51.53092427498277,0.13701277257064093
E01000096,40.926,0.259,0.135,34.307,0.008,48.317,29.982,661,1626.0,406.52,6.010090011231147,51.53211119515885,0.11667222995461422
E01000097,38.009,0.223,0.131,32.926,0.808,47.096,28.566,484,1934.0,250.26,5.526488259576272,51.564095599173555,0.13001910743801653
E01000098,39.405,0.239,0.159,31.389,0.443,43.482,28.673,543,1937.0,280.33,5.639528357516423,51.56013407366483,0.1277573388581952
E01000099,29.266,0.174,0.105,25.037,0.214,47.111,26.795,703,2766.0,254.16,5.541890799373754,51.56203181081081,0.1334876586059744
E01000100,31.83,0.16,0.117,29.622,0.106,42.938,38.207,371,1926.0,192.63,5.265949121515307,51.559056218328834,0.1390256091644205
E01000101,40.463,0.254,0.154,28.988,0.464,43.29,37.223,793,1686.0,470.34,6.155579701959949,51.55921201765448,0.1460468839848676
E01000102,42.631,0.275,0.175,23.976,0.684,44.376,33.8,371,1815.0,204.41,5.325007981801082,51.557708940700806,0.13209666037735848
E01000103,32.894,0.18,0.113,26.208,0.427,50.872,20.068,401,1777.0,225.66,5.4234510973048025,51.53633820698254,0.16580206483790522
E01000104,34.672,0.222,0.134,31.664,0.276,50.107,18.066,497,1916.0,259.39,5.562180507139264,51.53907071227364,0.16615331790744467
E01000105,44.149,0.246,0.165,36.132,0.932,47.24,25.589,1686,2271.0,742.4,6.611234257863152,51.54048619691578,0.1507360925266904
E01000106,43.523,0.275,0.167,27.219,0.636,51.428,26.265,771,2260.0,341.15,5.835249237398506,51.540098926070044,0.15877897405966276
E01000107,28.332,0.151,0.095,29.324,0.579,44.429,22.813,318,1815.0,175.21,5.1716764655806395,51.54075086792453,0.17326833962264152
E01000108,28.166,0.171,0.104,20.596,0.158,41.045,35.136,558,1947.0,286.59,5.66153585472778,51.54243169354839,0.16501363261648747
E01000110,17.741,0.112,0.078,12.848,-0.002,32.872,20.544,445,1659.0,268.23,5.59556603286903,51.57351951235955,0.14487359325842697
E01000111,28.903,0.174,0.111,20.878,0.187,44.339,26.789,580,2180.0,266.06,5.5874733522558175,51.56918191551725,0.1449675275862069
E01000112,24.743,0.129,0.065,18.969,-0.324,43.159,40.766,521,2053.0,253.77,5.540361177362727,51.56984138003839,0.13884014011516316
E01000113,25.268,0.152,0.081,16.983,-0.122,42.208,26.945,565,2036.0,277.5,5.629418059367339,51.5700410761062,0.13337729380530974
E01000114,23.288,0.119,0.074,19.124,-0.117,40.755,34.274,693,2412.0,287.31,5.664036290133685,51.5639504025974,0.1478461976911977
E01000115,6.227,0.055,0.046,3.734,-1.526,17.004,18.838,120,1366.0,87.85,4.486949554600661,51.6361059,-0.142655125
E01000116,7.79,0.074,0.049,3.87,-1.412,19.173,18.248,374,1694.0,220.78,5.40168589952507,51.633283957219255,-0.1453161497326203
E01000117,9.642,0.071,0.062,6.077,-1.141,21.506,17.66,215,1768.0,121.61,4.809008586244295,51.63313209767442,-0.15642797209302325
E01000118,9.812,0.077,0.059,8.59,-1.679,22.339,16.261,339,2032.0,166.83,5.122951562320088,51.63043698820059,-0.1534624778761062
E01000119,11.589,0.078,0.054,3.312,-1.884,23.519,21.949,206,1784.0,115.47,4.75763372911456,51.62975190776699,-0.13598888834951456
E01000120,5.902,0.061,0.036,4.436,-1.58,18.977,14.872,144,1462.0,98.5,4.600157644164547,51.632459131944444,-0.1383503611111111
E01000121,36.203,0.262,0.194,22.583,0.261,37.522,13.339,413,1428.0,289.22,5.670639256062947,51.627509184019374,-0.14848549878934625
E01000122,10.152,0.071,0.055,2.257,-1.246,30.659,21.817,153,1516.0,100.92,4.624188191823853,51.62623509150327,-0.13754167320261437
E01000123,11.048,0.075,0.049,8.519,-1.062,34.632,15.659,345,1768.0,195.14,5.2788286899641745,51.62237626086956,-0.14371838550724636
E01000124,23.589,0.166,0.128,14.674,-0.593,30.587,20.768,772,1883.0,409.98,6.018544551511725,51.61756827072539,-0.1435534274611399
E01000126,33.625,0.243,0.152,13.21,-0.077,51.181,24.433,492,2199.0,223.74,5.4149441784797565,51.60085639634146,-0.2516223536585366
E01000127,27.543,0.193,0.129,21.348,-0.495,37.588,22.92,239,1540.0,155.19,5.051073214869631,51.606706648535564,-0.25854296652719666
E01000128,27.055,0.171,0.103,22.529,-0.346,34.708,27.146,585,2039.0,286.91,5.662647931297646,51.600845993162395,-0.25991037435897435
E01000129,31.0,0.214,0.11,23.973,-0.148,38.657,25.543,1395,1599.0,872.42,6.772416539804625,51.60181482867384,-0.264647411469534
E01000130,30.863,0.185,0.118,19.118,-0.331,43.475,35.288,285,1929.0,147.74,5.002199815275154,51.60453638596491,-0.25332625263157893
E01000131,20.904,0.116,0.067,10.9,-0.802,39.033,20.979,389,1937.0,200.83,5.307425758912028,51.59755479691517,-0.25607527763496146
E01000132,25.53,0.187,0.106,22.698,-0.464,35.397,25.837,270,1591.0,169.7,5.139907629800395,51.60896458518519,-0.25781715185185183
E01000133,30.774,0.188,0.159,24.516,-0.059,40.079,26.72,312,1633.0,191.06,5.257807823209827,51.607486285256414,-0.2515392692307692
E01000134,24.669,0.184,0.093,20.26,-0.579,42.152,27.225,354,1766.0,200.45,5.305541211637356,51.607371364406774,-0.26554140395480225
E01000135,12.523,0.076,0.048,4.357,-1.087,25.516,33.536,271,1714.0,158.11,5.069595786919765,51.56891685239852,-0.2019548339483395
E01000136,8.96,0.037,0.02,0.946,-1.93,27.615,36.198,467,1477.0,316.18,5.759469436070455,51.56781723340471,-0.19210964453961457
E01000137,28.786,0.235,0.145,8.14,0.077,33.329,22.835,375,1687.0,222.29,5.408471375039929,51.564958546666674,-0.20045114133333333
E01000138,27.86,0.178,0.127,8.449,-0.547,35.73,31.895,595,1624.0,366.38,5.9063967347179185,51.56368387394958,-0.2045202974789916
E01000139,12.388,0.082,0.041,4.481,-1.326,25.608,29.28,292,1413.0,206.65,5.335853970076762,51.56003878082192,-0.2014081506849315
E01000140,16.817,0.118,0.078,9.457,-0.914,30.188,30.341,602,2008.0,299.8,5.706445592075685,51.56260617109634,-0.19729580398671098
E01000141,28.797,0.149,0.083,11.28,-0.736,35.668,52.22,1866,1795.0,1039.55,6.9475046984994195,51.55784942818864,-0.21491687191854233
E01000142,16.669,0.126,0.077,8.856,-0.676,30.865,28.68,469,2166.0,216.53,5.382336772051611,51.561753618336894,-0.21124283582089554
E01000143,31.342,0.239,0.153,16.558,-0.081,33.531,19.252,904,1703.0,530.83,6.276323889402844,51.55890313274336,-0.20885519469026548
E01000144,18.338,0.102,0.082,8.328,-0.906,31.107,29.17,1544,1665.0,927.33,6.833387273022556,51.57329963341969,-0.1979686988341969
E01000145,14.626,0.088,0.072,4.679,-1.5,29.116,32.598,459,1617.0,283.86,5.65199783150644,51.573206165577346,-0.20369076470588235
E01000146,18.538,0.103,0.089,4.798,-1.542,34.561,29.849,1301,1864.0,697.96,6.549593515989839,51.57143479861645,-0.1966404119907763
E01000147,12.786,0.078,0.04,9.893,-1.99,27.447,33.415,489,1970.0,248.22,5.518336040514722,51.590035044989776,-0.24996796523517384
E01000150,15.583,0.106,0.056,9.297,-1.385,33.726,33.545,1052,2225.0,472.81,6.160806397453836,51.584511104562736,-0.2448965646387833
E01000151,38.897,0.332,0.191,18.815,-0.203,40.945,19.735,822,1634.0,503.06,6.222695308604811,51.60176011192214,-0.24406563381995133
E01000152,32.418,0.265,0.144,25.229,-0.552,44.269,16.001,392,2766.0,141.72,4.960884668831699,51.60483035714285,-0.24394626785714285
E01000153,41.649,0.276,0.173,36.066,-0.047,49.389,18.106,527,1861.0,283.18,5.64960784020993,51.60369180455408,-0.2480138614800759
E01000154,32.667,0.201,0.141,22.212,0.007,43.4,22.744,613,1846.0,332.07,5.808352678099584,51.59821221859706,-0.2445468629690049
E01000156,8.319,0.075,0.04,1.668,-0.991,22.228,19.997,371,1965.0,188.8,5.245970886175828,51.60128606469003,-0.1482481051212938
E01000157,12.655,0.089,0.054,10.386,-1.084,24.93,32.014,195,1566.0,124.52,4.832465108424777,51.60331644615385,-0.14553539487179487
E01000158,19.721,0.13,0.087,10.783,-0.598,28.16,31.142,356,1489.0,239.09,5.481013853047065,51.616885876404496,-0.15226345786516854
E01000159,16.257,0.112,0.077,4.883,-1.287,32.939,17.393,282,1749.0,161.23,5.089015081422308,51.61887570212766,-0.1564514219858156
E01000160,12.121,0.07,0.047,7.531,-1.028,26.935,26.093,898,1896.0,473.63,6.162535553129082,51.613604142538975,-0.14546757349665926
E01000161,14.513,0.109,0.055,3.782,-0.524,27.508,20.014,605,2045.0,295.84,5.693193273101933,51.61357819669421,-0.15377789090909091
E01000162,18.504,0.117,0.098,9.943,-0.479,24.285,27.187,533,1683.0,316.7,5.761107541275471,51.612187590994374,-0.15836987054409005
E01000163,28.541,0.2,0.145,13.328,0.036,38.055,21.987,594,1680.0,353.57,5.870905787692259,51.607105968013464,-0.1452268131313131
E01000164,25.331,0.172,0.107,11.909,-0.666,36.044,28.698,698,1689.0,413.26,6.026493796027377,51.60533013467048,-0.15264005014326648
E01000165,13.258,0.099,0.05,5.196,-1.29,35.632,16.048,429,1735.0,247.26,5.514476584087801,51.61004462237762,-0.15015437995337996
E01000166,14.861,0.105,0.082,7.16,-0.922,28.957,13.626,226,1619.0,139.59,4.945847853091816,51.65304392035398,-0.16024990265486727
E01000167,28.35,0.199,0.125,22.649,0.166,33.883,18.27,391,1380.0,283.33,5.6501355354254255,51.654034672634275,-0.16704147570332478
E01000168,6.975,0.05,0.035,3.41,-1.486,21.872,21.5,125,1482.0,84.35,4.4467604492404496,51.649823903999994,-0.155806688
E01000169,13.226,0.086,0.063,4.871,-1.209,25.427,25.647,173,1532.0,112.92,4.735496447663666,51.65090389595376,-0.1636025895953757
E01000170,20.384,0.147,0.114,10.294,-0.625,22.502,25.376,413,1909.0,216.34,5.381462947634706,51.64607604842615,-0.16538817191283292
E01000171,24.261,0.196,0.105,12.3,-0.164,26.487,33.967,1018,2299.0,442.8,6.095374010498493,51.64903097740668,-0.17042781827111986
E01000172,8.421,0.075,0.039,2.666,-1.613,24.854,25.96,235,1657.0,141.82,4.961585096120964,51.6440405106383,-0.1524502595744681
E01000173,9.709,0.081,0.05,5.844,-1.13,19.649,23.152,197,1600.0,123.12,4.821248839580179,51.64337767512691,-0.15897898984771572
E01000174,16.271,0.128,0.069,8.05,-0.672,30.198,29.971,505,1694.0,298.11,5.700811398711247,51.64261221584158,-0.16460762574257426
E01000175,7.614,0.052,0.047,2.159,-1.45,22.205,15.768,319,1991.0,160.22,5.082769891855455,51.637788119122256,-0.16040039184952978
E01000176,30.549,0.233,0.136,19.609,-0.459,44.215,17.867,377,1674.0,225.21,5.421463771369744,51.59552014588859,-0.1787521591511936
E01000177,8.263,0.055,0.026,4.627,-1.826,22.96,29.925,341,1658.0,205.67,5.331123318273214,51.59311279765396,-0.1707650439882698
E01000178,8.055,0.058,0.045,1.098,-1.31,22.904,23.749,404,1630.0,247.85,5.516850305304563,51.59392570544555,-0.1655092524752475
E01000179,8.467,0.064,0.036,2.024,-0.712,24.92,19.606,215,1768.0,121.61,4.809008586244295,51.594943562790704,-0.17563236744186048
E01000180,14.555,0.13,0.073,4.839,-1.044,29.565,19.421,320,1718.0,186.26,5.232498025510743,51.59040976875,-0.1689159875
E01000181,8.204,0.058,0.039,0.31,-1.634,20.819,29.674,719,1695.0,424.19,6.052536127846924,51.5907286954103,-0.1644562531293463
E01000182,8.01,0.04,0.032,0.42,-1.738,22.913,37.424,436,1641.0,265.69,5.586086935171916,51.58839039220183,-0.16354324541284404
E01000183,10.613,0.085,0.047,1.885,-0.676,30.174,20.769,302,1520.0,198.68,5.296716085181063,51.590183900662254,-0.17653741721854305
E01000184,31.921,0.212,0.141,17.632,-0.186,43.284,35.661,528,1803.0,292.85,5.68306943305866,51.600814547348484,-0.17084461931818182
E01000185,25.824,0.239,0.128,12.502,-0.208,32.704,19.475,364,1475.0,246.78,5.512541255687593,51.594987478021984,-0.172163510989011
E01000186,5.195,0.044,0.035,3.442,-1.988,19.417,18.927,155,1802.0,86.02,4.466137977292534,51.62306102580645,-0.2745390967741935
E01000187,13.015,0.118,0.063,7.661,-0.599,27.997,14.508,323,1759.0,183.63,5.218353822407652,51.62710949535604,-0.27134666873065016
E01000188,8.028,0.032,0.036,2.684,-2.011,21.076,27.374,578,1590.0,363.52,5.898581419627926,51.62443030103806,-0.28552511418685117
E01000189,24.526,0.149,0.091,25.611,-0.871,38.504,43.589,413,2456.0,168.16,5.130845012604288,51.62139991525424,-0.2880873026634383
E01000190,10.149,0.091,0.056,5.319,-1.301,25.601,16.24,149,1760.0,84.66,4.450385972187225,51.61831211409396,-0.28338227516778525
E01000191,6.834,0.055,0.048,1.76,-1.605,22.059,18.833,229,1547.0,148.03,5.004147627960702,51.62107087772926,-0.27871303493449784
E01000192,15.472,0.105,0.066,6.778,-1.035,27.087,28.127,532,2045.0,260.15,5.565094954882308,51.61638066541354,-0.2742301522556391
E01000193,16.117,0.09,0.071,7.965,-1.393,28.912,33.122,2399,1974.0,1215.3,7.1035687426243905,51.61319569237182,-0.27680373905794076
E01000194,19.392,0.114,0.078,5.706,-1.007,33.467,29.783,683,1894.0,360.61,5.890566283002889,51.61127380380674,-0.2759138213762811
E01000195,26.999,0.177,0.109,23.459,-0.58,47.051,19.966,603,2017.0,298.96,5.703649132433188,51.630925558872306,-0.2671701326699834
E01000196,12.284,0.093,0.068,5.839,-1.183,29.058,22.92,714,2137.0,334.11,5.8144588361362635,51.59838737254902,-0.1958966806722689
E01000197,12.516,0.086,0.056,1.749,-1.585,26.823,34.534,424,1829.0,231.82,5.450265622820095,51.59703677830189,-0.18727660849056604
E01000198,11.841,0.087,0.048,2.096,-1.852,36.202,25.751,373,2161.0,172.61,5.156811404253857,51.59588796514745,-0.21419021179624664
E01000199,7.222,0.056,0.036,1.162,-2.149,27.064,16.028,214,1612.0,132.75,4.8959723857761155,51.59970352803738,-0.20820806542056075
E01000200,9.566,0.081,0.055,1.098,-1.812,23.179,19.86,367,2019.0,181.77,5.208228531766351,51.59641795367847,-0.20323244141689373
E01000201,7.184,0.041,0.034,0.774,-1.855,20.134,32.502,316,1516.0,208.44,5.34443730216159,51.59127486075949,-0.20406699367088607
E01000202,6.735,0.053,0.031,1.508,-1.941,25.128,23.038,275,1666.0,165.07,5.112409386218662,51.59456663636364,-0.19682554545454548
E01000203,15.523,0.114,0.072,5.763,-1.173,36.786,24.962,716,1876.0,381.66,5.9471468664568565,51.59213029329609,-0.1926829622905028
E01000204,10.063,0.068,0.046,3.121,-1.795,23.008,27.209,516,1726.0,298.96,5.703649132433188,51.60139573255814,-0.1982377945736434
E01000205,7.725,0.053,0.035,1.073,-1.993,22.867,23.489,305,1526.0,199.87,5.302657932646457,51.58728939016393,-0.18994385573770492
E01000206,9.118,0.013,0.012,1.793,-2.703,38.568,24.319,329,1499.0,219.48,5.395806987825294,51.57479583282675,-0.17553392097264436
E01000207,6.585,0.042,0.035,2.896,-2.053,22.612,27.164,357,1594.0,223.96,5.4159226086223,51.584051159663865,-0.18318858263305324
E01000208,6.612,0.028,0.01,1.282,-2.453,26.632,22.502,398,1656.0,240.34,5.486206727645455,51.58577924874372,-0.1694201783919598
E01000209,7.058,0.048,0.035,0.414,-1.562,23.561,22.769,253,1495.0,169.23,5.137150463826479,51.583422268774704,-0.19461060079051384
