lsoa_code,dominant_crime,latitude,longitude
E01000117,Violence and sexual offences,51.632768999999996,-0.1543745
E01000118,Violence and sexual offences,51.629901,-0.156611
E01000119,Violence and sexual offences,51.628015,-0.13714
E01000120,Violence and sexual offences,51.632308,-0.138469
E01000121,Violence and sexual offences,51.627229,-0.148149
E01000122,Violence and sexual offences,51.625094,-0.136583
E01000123,Violence and sexual offences,51.623133,-0.147263
E01000124,Violence and sexual offences,51.617399,-0.143165
E01000126,Violence and sexual offences,51.600390000000004,-0.250999
E01000127,Violence and sexual offences,51.606768,-0.257848
E01000128,Violence and sexual offences,51.6012635,-0.257654
E01000129,Violence and sexual offences,51.601397,-0.26526
E01000130,Violence and sexual offences,51.604233,-0.252209
E01000131,Violence and sexual offences,51.597012,-0.259178
E01000132,Violence and sexual offences,51.609021,-0.2582255
E01000133,Violence and sexual offences,51.606828,-0.250882
E01000134,Violence and sexual offences,51.607117,-0.263862
E01000135,Violence and sexual offences,51.568533,-0.200641
E01000136,Violence and sexual offences,51.568931,-0.191554
E01000137,Violence and sexual offences,51.565789,-0.19975
E01000138,Violence and sexual offences,51.563661,-0.204502
E01000139,Violence and sexual offences,51.559428,-0.202163
E01000140,Violence and sexual offences,51.562431000000004,-0.197147
E01000141,Violence and sexual offences,51.55729,-0.215314
E01000142,Violence and sexual offences,51.561744,-0.212479
E01000143,Violence and sexual offences,51.559805,-0.208901
E01000144,Violence and sexual offences,51.572429,-0.197687
E01000145,Violence and sexual offences,51.573711,-0.201457
E01000146,Violence and sexual offences,51.5716625,-0.197687
E01000147,Violence and sexual offences,51.590635,-0.250787
E01000150,Violence and sexual offences,51.584687,-0.244166
E01000151,Violence and sexual offences,51.601249,-0.244199
E01000152,Violence and sexual offences,51.604754,-0.242943
E01000153,Violence and sexual offences,51.603562,-0.247512
E01000154,Violence and sexual offences,51.5978505,-0.24472
E01000156,Violence and sexual offences,51.601626,-0.148525
E01000157,Violence and sexual offences,51.60259,-0.145858
E01000158,Violence and sexual offences,51.615458,-0.151953
E01000159,Violence and sexual offences,51.620991,-0.152782
E01000160,Violence and sexual offences,51.612571,-0.144545
E01000161,Violence and sexual offences,51.613336,-0.155853
E01000162,Violence and sexual offences,51.612143,-0.159526
E01000163,Violence and sexual offences,51.6074325,-0.145201
E01000164,Violence and sexual offences,51.606219,-0.153026
E01000165,Violence and sexual offences,51.610014,-0.149873
E01000166,Violence and sexual offences,51.652466,-0.15798
E01000167,Violence and sexual offences,51.654049,-0.168526
E01000168,Violence and sexual offences,51.650167,-0.1548815
E01000169,Violence and sexual offences,51.650912,-0.16209
E01000170,Violence and sexual offences,51.646171,-0.165247
E01000171,Violence and sexual offences,51.64955,-0.170196
E01000172,Violence and sexual offences,51.6434925,-0.1517415
E01000173,Violence and sexual offences,51.6424995,-0.1575165
E01000174,Violence and sexual offences,51.643296,-0.16477
E01000175,Violence and sexual offences,51.637521500000005,-0.1603565
E01000176,Violence and sexual offences,51.596678,-0.178246
E01000177,Violence and sexual offences,51.593362,-0.170261
E01000178,Violence and sexual offences,51.593928,-0.165455
E01000179,Violence and sexual offences,51.593217,-0.175291
E01000180,Violence and sexual offences,51.590518,-0.167777
E01000181,Violence and sexual offences,51.5910305,-0.164592
E01000182,Violence and sexual offences,51.587996,-0.16414
E01000183,Violence and sexual offences,51.589624,-0.175427
E01000184,Violence and sexual offences,51.601404,-0.170192
E01000185,Violence and sexual offences,51.594596,-0.172524
E01000186,Violence and sexual offences,51.621761,-0.273017
E01000187,Violence and sexual offences,51.627107,-0.271441
E01000188,Violence and sexual offences,51.623738,-0.280244
E01000189,Violence and sexual offences,51.62162,-0.287532
E01000190,Violence and sexual offences,51.620002,-0.284914
E01000191,Violence and sexual offences,51.621125,-0.280023
E01000192,Violence and sexual offences,51.615594,-0.274984
E01000193,Violence and sexual offences,51.61297,-0.276891
E01000194,Violence and sexual offences,51.611178,-0.277368
E01000195,Violence and sexual offences,51.630775,-0.266373
E01000196,Violence and sexual offences,51.599094,-0.195759
E01000197,Violence and sexual offences,51.596592,-0.187732
E01000198,Violence and sexual offences,51.595966,-0.2143915
E01000199,Violence and sexual offences,51.599044500000005,-0.208857
E01000200,Violence and sexual offences,51.596768,-0.203903
E01000201,Violence and sexual offences,51.591874,-0.203021
E01000202,Violence and sexual offences,51.594589,-0.197196
E01000203,Violence and sexual offences,51.591447,-0.192311
E01000204,Violence and sexual offences,51.601123,-0.196588
E01000205,Violence and sexual offences,51.586469,-0.1893515
E01000206,Violence and sexual offences,51.575213,-0.172805
E01000207,Violence and sexual offences,51.585918,-0.181423
E01000208,Violence and sexual offences,51.585506,-0.16798
E01000209,Violence and sexual offences,51.5832525,-0.196038
E01000210,Violence and sexual offences,51.588421,-0.181808
E01000211,Violence and sexual offences,51.587574,-0.197797
E01000212,Violence and sexual offences,51.5780295,-0.197232
E01000213,Violence and sexual offences,51.581269,-0.18042350000000001
E01000214,Violence and sexual offences,51.571886,-0.194487
E01000215,Violence and sexual offences,51.579595,-0.209884
E01000216,Violence and sexual offences,51.5788805,-0.2001235
E01000217,Violence and sexual offences,51.583369,-0.200386
E01000218,Violence and sexual offences,51.578001,-0.206801
E01000219,Violence and sexual offences,51.575758,-0.21237050000000002
E01000220,Violence and sexual offences,51.575749,-0.206113
E01000221,Violence and sexual offences,51.573010499999995,-0.219862
E01000222,Violence and sexual offences,51.569192,-0.210976
E01000223,Violence and sexual offences,51.56467,-0.222639
E01000224,Violence and sexual offences,51.566735,-0.211039
E01000225,Violence and sexual offences,51.586736,-0.2043215
E01000226,Violence and sexual offences,51.609929,-0.266567
E01000227,Violence and sexual offences,51.615311,-0.26537
E01000228,Violence and sexual offences,51.627276,-0.252116
E01000229,Violence and sexual offences,51.626626,-0.266287
E01000230,Violence and sexual offences,51.6252315,-0.268593
E01000231,Violence and sexual offences,51.623383,-0.256873
E01000232,Violence and sexual offences,51.6201225,-0.261885
E01000233,Violence and sexual offences,51.616822,-0.261263
E01000234,Violence and sexual offences,51.615715,-0.257068
E01000235,Violence and sexual offences,51.610829,-0.257503
E01000236,Violence and sexual offences,51.583921000000004,-0.21288
E01000237,Violence and sexual offences,51.585573,-0.221045
E01000238,Violence and sexual offences,51.588723,-0.213765
E01000239,Violence and sexual offences,51.592507,-0.234279
E01000240,Violence and sexual offences,51.5985345,-0.232907
E01000241,Violence and sexual offences,51.59472,-0.225301
E01000242,Violence and sexual offences,51.591643000000005,-0.2174085
E01000243,Violence and sexual offences,51.589405,-0.221247
E01000244,Violence and sexual offences,51.589798,-0.225756
E01000245,Violence and sexual offences,51.587325,-0.221022
E01000246,Violence and sexual offences,51.652945,-0.186783
E01000247,Violence and sexual offences,51.654843,-0.176648
E01000248,Violence and sexual offences,51.655735,-0.203657
E01000249,Violence and sexual offences,51.655147,-0.21304
E01000250,Violence and sexual offences,51.65423,-0.200181
E01000251,Violence and sexual offences,51.650384,-0.176724
E01000252,Violence and sexual offences,51.650239,-0.184148
E01000253,Violence and sexual offences,51.648497,-0.234068
E01000254,Violence and sexual offences,51.65914,-0.201564
E01000255,Violence and sexual offences,51.612329,-0.223187
E01000256,Violence and sexual offences,51.608774,-0.233492
E01000257,Violence and sexual offences,51.609283,-0.210283
E01000258,Violence and sexual offences,51.615303,-0.239884
E01000259,Violence and sexual offences,51.606099,-0.215167
E01000260,Violence and sexual offences,51.601939,-0.2353
E01000261,Violence and sexual offences,51.624428,-0.236451
E01000263,Violence and sexual offences,51.620818,-0.248876
E01000264,Violence and sexual offences,51.616249,-0.246937
E01000265,Violence and sexual offences,51.623592,-0.155807
E01000266,Violence and sexual offences,51.6233345,-0.1635145
E01000267,Violence and sexual offences,51.640761,-0.169698
E01000268,Violence and sexual offences,51.646958,-0.180808
E01000269,Violence and sexual offences,51.644743,-0.1839155
E01000270,Violence and sexual offences,51.645502,-0.17629
E01000271,Violence and sexual offences,51.639255,-0.176631
E01000272,Violence and sexual offences,51.635175,-0.16746
E01000273,Violence and sexual offences,51.631498,-0.1725835
E01000274,Violence and sexual offences,51.627062,-0.159665
E01000275,Violence and sexual offences,51.621501499999994,-0.185436
E01000276,Violence and sexual offences,51.616146,-0.195835
